"FinancialYear","HBT","HBTQF","Dataset","DatasetQF","LengthOfStay","NumberOfStays"
"2001/02","S08000025"," ","Total","d","8 - 28 days",10
"2001/02","S08000025"," ","Total","d","29 days - 6 months",5
"2001/02","S08000025"," ","Total","d","> 6 months",0
"2001/02","S08000026"," ","SMR01"," ","< 1 day",20
"2001/02","S08000026"," ","SMR01"," ","1 - 7 days",45
"2001/02","S08000026"," ","SMR01"," ","8 - 28 days",5
"2001/02","S08000026"," ","SMR01"," ","29 days - 6 months",5
"2001/02","S08000026"," ","SMR01"," ","> 6 months",0
"2001/02","S08000026"," ","SMR04"," ","< 1 day",0
"2001/02","S08000026"," ","SMR04"," ","1 - 7 days",0
"2001/02","S08000026"," ","SMR04"," ","8 - 28 days",0
"2001/02","S08000026"," ","SMR04"," ","29 days - 6 months",0
"2001/02","S08000026"," ","SMR04"," ","> 6 months",0
"2001/02","S08000026"," ","Total","d","< 1 day",20
"2001/02","S08000026"," ","Total","d","1 - 7 days",45
"2001/02","S08000026"," ","Total","d","8 - 28 days",5
"2001/02","S08000026"," ","Total","d","29 days - 6 months",5
"2001/02","S08000026"," ","Total","d","> 6 months",0
"2001/02","S08000030"," ","SMR01"," ","< 1 day",185
"2001/02","S08000030"," ","SMR01"," ","1 - 7 days",235
"2001/02","S08000030"," ","SMR01"," ","8 - 28 days",90
"2001/02","S08000030"," ","SMR01"," ","29 days - 6 months",55
"2001/02","S08000030"," ","SMR01"," ","> 6 months",10
"2001/02","S08000030"," ","SMR04"," ","< 1 day",50
"2001/02","S08000030"," ","SMR04"," ","1 - 7 days",665
"2001/02","S08000030"," ","SMR04"," ","8 - 28 days",740
"2001/02","S08000030"," ","SMR04"," ","29 days - 6 months",675
"2001/02","S08000030"," ","SMR04"," ","> 6 months",195
"2001/02","S08000030"," ","Total","d","< 1 day",235
"2001/02","S08000030"," ","Total","d","1 - 7 days",900
"2001/02","S08000030"," ","Total","d","8 - 28 days",835
"2001/02","S08000030"," ","Total","d","29 days - 6 months",730
"2001/02","S08000030"," ","Total","d","> 6 months",210
"2001/02","S08000028"," ","SMR01"," ","< 1 day",30
"2001/02","S08000028"," ","SMR01"," ","1 - 7 days",100
"2001/02","S08000028"," ","SMR01"," ","8 - 28 days",25
"2001/02","S08000028"," ","SMR01"," ","29 days - 6 months",0
"2001/02","S08000028"," ","SMR01"," ","> 6 months",0
"2001/02","S08000028"," ","SMR04"," ","< 1 day",0
"2001/02","S08000028"," ","SMR04"," ","1 - 7 days",30
"2001/02","S08000028"," ","SMR04"," ","8 - 28 days",90
"2001/02","S08000028"," ","SMR04"," ","29 days - 6 months",40
"2001/02","S08000028"," ","SMR04"," ","> 6 months",10
"2001/02","S08000028"," ","Total","d","< 1 day",30
"2001/02","S08000028"," ","Total","d","1 - 7 days",130
"2001/02","S08000028"," ","Total","d","8 - 28 days",115
"2001/02","S08000028"," ","Total","d","29 days - 6 months",40
"2001/02","S08000028"," ","Total","d","> 6 months",10
"2001/02","SB0802"," ","SMR01"," ","< 1 day",0
"2001/02","SB0802"," ","SMR01"," ","1 - 7 days",0
"2001/02","SB0802"," ","SMR01"," ","8 - 28 days",0
"2001/02","SB0802"," ","SMR01"," ","29 days - 6 months",0
"2001/02","SB0802"," ","SMR01"," ","> 6 months",0
"2001/02","SB0802"," ","SMR04"," ","< 1 day",0
"2001/02","SB0802"," ","SMR04"," ","1 - 7 days",0
"2001/02","SB0802"," ","SMR04"," ","8 - 28 days",0
"2001/02","SB0802"," ","SMR04"," ","29 days - 6 months",15
"2001/02","SB0802"," ","SMR04"," ","> 6 months",10
"2001/02","SB0802"," ","Total","d","< 1 day",0
"2001/02","SB0802"," ","Total","d","1 - 7 days",0
"2001/02","SB0802"," ","Total","d","8 - 28 days",0
"2001/02","SB0802"," ","Total","d","29 days - 6 months",15
"2001/02","SB0802"," ","Total","d","> 6 months",10
"2001/02","S92000003","d","SMR01"," ","< 1 day",1885
"2001/02","S92000003","d","SMR01"," ","1 - 7 days",4480
"2001/02","S92000003","d","SMR01"," ","8 - 28 days",1495
"2001/02","S92000003","d","SMR01"," ","29 days - 6 months",870
"2001/02","S92000003","d","SMR01"," ","> 6 months",70
"2001/02","S92000003","d","SMR04"," ","< 1 day",575
"2001/02","S92000003","d","SMR04"," ","1 - 7 days",6960
"2001/02","S92000003","d","SMR04"," ","8 - 28 days",9390
"2001/02","S92000003","d","SMR04"," ","29 days - 6 months",7675
"2001/02","S92000003","d","SMR04"," ","> 6 months",1940
"2001/02","S92000003","d","Total","d","< 1 day",2455
"2001/02","S92000003","d","Total","d","1 - 7 days",11440
"2001/02","S92000003","d","Total","d","8 - 28 days",10885
"2001/02","S92000003","d","Total","d","29 days - 6 months",8545
"2001/02","S92000003","d","Total","d","> 6 months",2010
"2002/03","SB0801"," ","SMR01"," ","< 1 day",0
"2002/03","SB0801"," ","SMR01"," ","1 - 7 days",0
"2002/03","SB0801"," ","SMR01"," ","8 - 28 days",0
"2002/03","SB0801"," ","SMR01"," ","29 days - 6 months",0
"2002/03","SB0801"," ","SMR01"," ","> 6 months",0
"2002/03","SB0801"," ","SMR04"," ","< 1 day",0
"2002/03","SB0801"," ","SMR04"," ","1 - 7 days",0
"2002/03","SB0801"," ","SMR04"," ","8 - 28 days",0
"2002/03","SB0801"," ","SMR04"," ","29 days - 6 months",0
"2002/03","SB0801"," ","SMR04"," ","> 6 months",0
"2002/03","SB0801"," ","Total","d","< 1 day",0
"2002/03","SB0801"," ","Total","d","1 - 7 days",0
"2002/03","SB0801"," ","Total","d","8 - 28 days",0
"2002/03","SB0801"," ","Total","d","29 days - 6 months",0
"2002/03","SB0801"," ","Total","d","> 6 months",0
"2002/03","S08000015"," ","SMR01"," ","< 1 day",210
"2002/03","S08000015"," ","SMR01"," ","1 - 7 days",375
"2002/03","S08000015"," ","SMR01"," ","8 - 28 days",110
"2002/03","S08000015"," ","SMR01"," ","29 days - 6 months",55
"2002/03","S08000015"," ","SMR01"," ","> 6 months",0
"2002/03","S08000015"," ","SMR04"," ","< 1 day",35
"2002/03","S08000015"," ","SMR04"," ","1 - 7 days",510
"2002/03","S08000015"," ","SMR04"," ","8 - 28 days",690
"2002/03","S08000015"," ","SMR04"," ","29 days - 6 months",590
"2002/03","S08000015"," ","SMR04"," ","> 6 months",130
"2002/03","S08000015"," ","Total","d","< 1 day",245
"2002/03","S08000015"," ","Total","d","1 - 7 days",885
"2002/03","S08000015"," ","Total","d","8 - 28 days",805
"2002/03","S08000015"," ","Total","d","29 days - 6 months",645
"2002/03","S08000015"," ","Total","d","> 6 months",130
"2002/03","S08000016"," ","SMR01"," ","< 1 day",70
"2002/03","S08000016"," ","SMR01"," ","1 - 7 days",130
"2002/03","S08000016"," ","SMR01"," ","8 - 28 days",50
"2002/03","S08000016"," ","SMR01"," ","29 days - 6 months",25
"2002/03","S08000016"," ","SMR01"," ","> 6 months",0
"2002/03","S08000016"," ","SMR04"," ","< 1 day",10
"2002/03","S08000016"," ","SMR04"," ","1 - 7 days",185
"2002/03","S08000016"," ","SMR04"," ","8 - 28 days",215
"2002/03","S08000016"," ","SMR04"," ","29 days - 6 months",155
"2002/03","S08000016"," ","SMR04"," ","> 6 months",50
"2002/03","S08000016"," ","Total","d","< 1 day",75
"2002/03","S08000016"," ","Total","d","1 - 7 days",315
"2002/03","S08000016"," ","Total","d","8 - 28 days",265
"2002/03","S08000016"," ","Total","d","29 days - 6 months",180
"2002/03","S08000016"," ","Total","d","> 6 months",50
"2002/03","S08000017"," ","SMR01"," ","< 1 day",35
"2002/03","S08000017"," ","SMR01"," ","1 - 7 days",120
"2002/03","S08000017"," ","SMR01"," ","8 - 28 days",55
"2002/03","S08000017"," ","SMR01"," ","29 days - 6 months",20
"2002/03","S08000017"," ","SMR01"," ","> 6 months",0
"2002/03","S08000017"," ","SMR04"," ","< 1 day",20
"2002/03","S08000017"," ","SMR04"," ","1 - 7 days",235
"2002/03","S08000017"," ","SMR04"," ","8 - 28 days",205
"2002/03","S08000017"," ","SMR04"," ","29 days - 6 months",200
"2002/03","S08000017"," ","SMR04"," ","> 6 months",50
"2002/03","S08000017"," ","Total","d","< 1 day",60
"2002/03","S08000017"," ","Total","d","1 - 7 days",355
"2002/03","S08000017"," ","Total","d","8 - 28 days",260
"2002/03","S08000017"," ","Total","d","29 days - 6 months",220
"2002/03","S08000017"," ","Total","d","> 6 months",50
"2002/03","S08000029"," ","SMR01"," ","< 1 day",60
"2002/03","S08000029"," ","SMR01"," ","1 - 7 days",105
"2002/03","S08000029"," ","SMR01"," ","8 - 28 days",55
"2002/03","S08000029"," ","SMR01"," ","29 days - 6 months",40
"2002/03","S08000029"," ","SMR01"," ","> 6 months",5
"2002/03","S08000029"," ","SMR04"," ","< 1 day",40
"2002/03","S08000029"," ","SMR04"," ","1 - 7 days",505
"2002/03","S08000029"," ","SMR04"," ","8 - 28 days",505
"2002/03","S08000029"," ","SMR04"," ","29 days - 6 months",460
"2002/03","S08000029"," ","SMR04"," ","> 6 months",130
"2002/03","S08000029"," ","Total","d","< 1 day",100
"2002/03","S08000029"," ","Total","d","1 - 7 days",615
"2002/03","S08000029"," ","Total","d","8 - 28 days",560
"2002/03","S08000029"," ","Total","d","29 days - 6 months",500
"2002/03","S08000029"," ","Total","d","> 6 months",135
"2002/03","S08000019"," ","SMR01"," ","< 1 day",45
"2002/03","S08000019"," ","SMR01"," ","1 - 7 days",145
"2002/03","S08000019"," ","SMR01"," ","8 - 28 days",45
"2002/03","S08000019"," ","SMR01"," ","29 days - 6 months",30
"2002/03","S08000019"," ","SMR01"," ","> 6 months",0
"2002/03","S08000019"," ","SMR04"," ","< 1 day",75
"2002/03","S08000019"," ","SMR04"," ","1 - 7 days",255
"2002/03","S08000019"," ","SMR04"," ","8 - 28 days",390
"2002/03","S08000019"," ","SMR04"," ","29 days - 6 months",350
"2002/03","S08000019"," ","SMR04"," ","> 6 months",65
"2002/03","S08000019"," ","Total","d","< 1 day",120
"2002/03","S08000019"," ","Total","d","1 - 7 days",400
"2002/03","S08000019"," ","Total","d","8 - 28 days",435
"2002/03","S08000019"," ","Total","d","29 days - 6 months",380
"2002/03","S08000019"," ","Total","d","> 6 months",65
"2002/03","S08000020"," ","SMR01"," ","< 1 day",160
"2002/03","S08000020"," ","SMR01"," ","1 - 7 days",435
"2002/03","S08000020"," ","SMR01"," ","8 - 28 days",155
"2002/03","S08000020"," ","SMR01"," ","29 days - 6 months",85
"2002/03","S08000020"," ","SMR01"," ","> 6 months",15
"2002/03","S08000020"," ","SMR04"," ","< 1 day",30
"2002/03","S08000020"," ","SMR04"," ","1 - 7 days",520
"2002/03","S08000020"," ","SMR04"," ","8 - 28 days",730
"2002/03","S08000020"," ","SMR04"," ","29 days - 6 months",625
"2002/03","S08000020"," ","SMR04"," ","> 6 months",185
"2002/03","S08000020"," ","Total","d","< 1 day",190
"2002/03","S08000020"," ","Total","d","1 - 7 days",960
"2002/03","S08000020"," ","Total","d","8 - 28 days",890
"2002/03","S08000020"," ","Total","d","29 days - 6 months",710
"2002/03","S08000020"," ","Total","d","> 6 months",200
"2002/03","S08000031"," ","SMR01"," ","< 1 day",335
"2002/03","S08000031"," ","SMR01"," ","1 - 7 days",1255
"2002/03","S08000031"," ","SMR01"," ","8 - 28 days",420
"2002/03","S08000031"," ","SMR01"," ","29 days - 6 months",320
"2002/03","S08000031"," ","SMR01"," ","> 6 months",15
"2002/03","S08000031"," ","SMR04"," ","< 1 day",80
"2002/03","S08000031"," ","SMR04"," ","1 - 7 days",1640
"2002/03","S08000031"," ","SMR04"," ","8 - 28 days",2365
"2002/03","S08000031"," ","SMR04"," ","29 days - 6 months",2045
"2002/03","S08000031"," ","SMR04"," ","> 6 months",500
"2002/03","S08000031"," ","Total","d","< 1 day",415
"2002/03","S08000031"," ","Total","d","1 - 7 days",2900
"2002/03","S08000031"," ","Total","d","8 - 28 days",2790
"2002/03","S08000031"," ","Total","d","29 days - 6 months",2365
"2002/03","S08000031"," ","Total","d","> 6 months",515
"2002/03","S08000022"," ","SMR01"," ","< 1 day",190
"2002/03","S08000022"," ","SMR01"," ","1 - 7 days",540
"2002/03","S08000022"," ","SMR01"," ","8 - 28 days",170
"2002/03","S08000022"," ","SMR01"," ","29 days - 6 months",65
"2002/03","S08000022"," ","SMR01"," ","> 6 months",15
"2002/03","S08000022"," ","SMR04"," ","< 1 day",40
"2002/03","S08000022"," ","SMR04"," ","1 - 7 days",635
"2002/03","S08000022"," ","SMR04"," ","8 - 28 days",715
"2002/03","S08000022"," ","SMR04"," ","29 days - 6 months",425
"2002/03","S08000022"," ","SMR04"," ","> 6 months",95
"2002/03","S08000022"," ","Total","d","< 1 day",230
"2002/03","S08000022"," ","Total","d","1 - 7 days",1175
"2002/03","S08000022"," ","Total","d","8 - 28 days",885
"2002/03","S08000022"," ","Total","d","29 days - 6 months",490
"2002/03","S08000022"," ","Total","d","> 6 months",110
"2002/03","S08000032"," ","SMR01"," ","< 1 day",175
"2002/03","S08000032"," ","SMR01"," ","1 - 7 days",420
"2002/03","S08000032"," ","SMR01"," ","8 - 28 days",110
"2002/03","S08000032"," ","SMR01"," ","29 days - 6 months",55
"2002/03","S08000032"," ","SMR01"," ","> 6 months",5
"2002/03","S08000032"," ","SMR04"," ","< 1 day",80
"2002/03","S08000032"," ","SMR04"," ","1 - 7 days",660
"2002/03","S08000032"," ","SMR04"," ","8 - 28 days",980
"2002/03","S08000032"," ","SMR04"," ","29 days - 6 months",815
"2002/03","S08000032"," ","SMR04"," ","> 6 months",135
"2002/03","S08000032"," ","Total","d","< 1 day",255
"2002/03","S08000032"," ","Total","d","1 - 7 days",1080
"2002/03","S08000032"," ","Total","d","8 - 28 days",1090
"2002/03","S08000032"," ","Total","d","29 days - 6 months",870
"2002/03","S08000032"," ","Total","d","> 6 months",140
"2002/03","S08000024"," ","SMR01"," ","< 1 day",255
"2002/03","S08000024"," ","SMR01"," ","1 - 7 days",525
"2002/03","S08000024"," ","SMR01"," ","8 - 28 days",215
"2002/03","S08000024"," ","SMR01"," ","29 days - 6 months",175
"2002/03","S08000024"," ","SMR01"," ","> 6 months",5
"2002/03","S08000024"," ","SMR04"," ","< 1 day",80
"2002/03","S08000024"," ","SMR04"," ","1 - 7 days",1190
"2002/03","S08000024"," ","SMR04"," ","8 - 28 days",1700
"2002/03","S08000024"," ","SMR04"," ","29 days - 6 months",1200
"2002/03","S08000024"," ","SMR04"," ","> 6 months",280
"2002/03","S08000024"," ","Total","d","< 1 day",335
"2002/03","S08000024"," ","Total","d","1 - 7 days",1710
"2002/03","S08000024"," ","Total","d","8 - 28 days",1915
"2002/03","S08000024"," ","Total","d","29 days - 6 months",1375
"2002/03","S08000024"," ","Total","d","> 6 months",285
"2002/03","S08000025"," ","SMR01"," ","< 1 day",25
"2002/03","S08000025"," ","SMR01"," ","1 - 7 days",35
"2002/03","S08000025"," ","SMR01"," ","8 - 28 days",5
"2002/03","S08000025"," ","SMR01"," ","29 days - 6 months",0
"2002/03","S08000025"," ","SMR01"," ","> 6 months",5
"2002/03","S08000025"," ","SMR04"," ","< 1 day",0
"2002/03","S08000025"," ","SMR04"," ","1 - 7 days",0
"2002/03","S08000025"," ","SMR04"," ","8 - 28 days",0
"2002/03","S08000025"," ","SMR04"," ","29 days - 6 months",0
"2002/03","S08000025"," ","SMR04"," ","> 6 months",0
"2002/03","S08000025"," ","Total","d","< 1 day",25
"2002/03","S08000025"," ","Total","d","1 - 7 days",35
"2002/03","S08000025"," ","Total","d","8 - 28 days",5
"2002/03","S08000025"," ","Total","d","29 days - 6 months",0
"2002/03","S08000025"," ","Total","d","> 6 months",5
"2002/03","S08000026"," ","SMR01"," ","< 1 day",35
"2002/03","S08000026"," ","SMR01"," ","1 - 7 days",60
"2002/03","S08000026"," ","SMR01"," ","8 - 28 days",5
"2002/03","S08000026"," ","SMR01"," ","29 days - 6 months",0
"2002/03","S08000026"," ","SMR01"," ","> 6 months",0
"2002/03","S08000026"," ","SMR04"," ","< 1 day",0
"2002/03","S08000026"," ","SMR04"," ","1 - 7 days",0
"2002/03","S08000026"," ","SMR04"," ","8 - 28 days",0
"2002/03","S08000026"," ","SMR04"," ","29 days - 6 months",0
"2002/03","S08000026"," ","SMR04"," ","> 6 months",0
"2002/03","S08000026"," ","Total","d","< 1 day",35
"2002/03","S08000026"," ","Total","d","1 - 7 days",60
"2002/03","S08000026"," ","Total","d","8 - 28 days",5
"2002/03","S08000026"," ","Total","d","29 days - 6 months",0
"2002/03","S08000026"," ","Total","d","> 6 months",0
"2002/03","S08000030"," ","SMR01"," ","< 1 day",140
"2002/03","S08000030"," ","SMR01"," ","1 - 7 days",200
"2002/03","S08000030"," ","SMR01"," ","8 - 28 days",75
"2002/03","S08000030"," ","SMR01"," ","29 days - 6 months",60
"2002/03","S08000030"," ","SMR01"," ","> 6 months",10
"2002/03","S08000030"," ","SMR04"," ","< 1 day",25
"2002/03","S08000030"," ","SMR04"," ","1 - 7 days",575
"2002/03","S08000030"," ","SMR04"," ","8 - 28 days",615
"2002/03","S08000030"," ","SMR04"," ","29 days - 6 months",680
"2002/03","S08000030"," ","SMR04"," ","> 6 months",200
"2002/03","S08000030"," ","Total","d","< 1 day",165
"2002/03","S08000030"," ","Total","d","1 - 7 days",775
"2002/03","S08000030"," ","Total","d","8 - 28 days",690
"2002/03","S08000030"," ","Total","d","29 days - 6 months",740
"2002/03","S08000030"," ","Total","d","> 6 months",210
"2002/03","S08000028"," ","SMR01"," ","< 1 day",35
"2002/03","S08000028"," ","SMR01"," ","1 - 7 days",95
"2002/03","S08000028"," ","SMR01"," ","8 - 28 days",45
"2002/03","S08000028"," ","SMR01"," ","29 days - 6 months",5
"2002/03","S08000028"," ","SMR01"," ","> 6 months",0
"2002/03","S08000028"," ","SMR04"," ","< 1 day",0
"2002/03","S08000028"," ","SMR04"," ","1 - 7 days",20
"2002/03","S08000028"," ","SMR04"," ","8 - 28 days",105
"2002/03","S08000028"," ","SMR04"," ","29 days - 6 months",35
"2002/03","S08000028"," ","SMR04"," ","> 6 months",5
"2002/03","S08000028"," ","Total","d","< 1 day",35
"2002/03","S08000028"," ","Total","d","1 - 7 days",115
"2002/03","S08000028"," ","Total","d","8 - 28 days",150
"2002/03","S08000028"," ","Total","d","29 days - 6 months",40
"2002/03","S08000028"," ","Total","d","> 6 months",10
"2002/03","SB0802"," ","SMR01"," ","< 1 day",0
"2002/03","SB0802"," ","SMR01"," ","1 - 7 days",0
"2002/03","SB0802"," ","SMR01"," ","8 - 28 days",0
"2002/03","SB0802"," ","SMR01"," ","29 days - 6 months",0
"2002/03","SB0802"," ","SMR01"," ","> 6 months",0
"2002/03","SB0802"," ","SMR04"," ","< 1 day",0
"2002/03","SB0802"," ","SMR04"," ","1 - 7 days",0
"2002/03","SB0802"," ","SMR04"," ","8 - 28 days",0
"2002/03","SB0802"," ","SMR04"," ","29 days - 6 months",10
"2002/03","SB0802"," ","SMR04"," ","> 6 months",20
"2002/03","SB0802"," ","Total","d","< 1 day",0
"2002/03","SB0802"," ","Total","d","1 - 7 days",0
"2002/03","SB0802"," ","Total","d","8 - 28 days",0
"2002/03","SB0802"," ","Total","d","29 days - 6 months",10
"2002/03","SB0802"," ","Total","d","> 6 months",20
"2002/03","S92000003","d","SMR01"," ","< 1 day",1765
"2002/03","S92000003","d","SMR01"," ","1 - 7 days",4435
"2002/03","S92000003","d","SMR01"," ","8 - 28 days",1520
"2002/03","S92000003","d","SMR01"," ","29 days - 6 months",940
"2002/03","S92000003","d","SMR01"," ","> 6 months",80
"2002/03","S92000003","d","SMR04"," ","< 1 day",515
"2002/03","S92000003","d","SMR04"," ","1 - 7 days",6940
"2002/03","S92000003","d","SMR04"," ","8 - 28 days",9215
"2002/03","S92000003","d","SMR04"," ","29 days - 6 months",7590
"2002/03","S92000003","d","SMR04"," ","> 6 months",1845
"2002/03","S92000003","d","Total","d","< 1 day",2280
"2002/03","S92000003","d","Total","d","1 - 7 days",11380
"2002/03","S92000003","d","Total","d","8 - 28 days",10740
"2002/03","S92000003","d","Total","d","29 days - 6 months",8530
"2002/03","S92000003","d","Total","d","> 6 months",1925
"2003/04","SB0801"," ","SMR01"," ","< 1 day",0
"2003/04","SB0801"," ","SMR01"," ","1 - 7 days",0
"2003/04","SB0801"," ","SMR01"," ","8 - 28 days",0
"2003/04","SB0801"," ","SMR01"," ","29 days - 6 months",0
"2003/04","SB0801"," ","SMR01"," ","> 6 months",0
"2003/04","SB0801"," ","SMR04"," ","< 1 day",0
"2003/04","SB0801"," ","SMR04"," ","1 - 7 days",0
"2003/04","SB0801"," ","SMR04"," ","8 - 28 days",0
"2003/04","SB0801"," ","SMR04"," ","29 days - 6 months",0
"2003/04","SB0801"," ","SMR04"," ","> 6 months",0
"2003/04","SB0801"," ","Total","d","< 1 day",0
"2003/04","SB0801"," ","Total","d","1 - 7 days",0
"2003/04","SB0801"," ","Total","d","8 - 28 days",0
"2003/04","SB0801"," ","Total","d","29 days - 6 months",0
"2003/04","SB0801"," ","Total","d","> 6 months",0
"2003/04","S08000015"," ","SMR01"," ","< 1 day",220
"2003/04","S08000015"," ","SMR01"," ","1 - 7 days",415
"2003/04","S08000015"," ","SMR01"," ","8 - 28 days",120
"2003/04","S08000015"," ","SMR01"," ","29 days - 6 months",35
"2003/04","S08000015"," ","SMR01"," ","> 6 months",0
"2003/04","S08000015"," ","SMR04"," ","< 1 day",50
"2003/04","S08000015"," ","SMR04"," ","1 - 7 days",530
"2003/04","S08000015"," ","SMR04"," ","8 - 28 days",615
"2003/04","S08000015"," ","SMR04"," ","29 days - 6 months",580
"2003/04","S08000015"," ","SMR04"," ","> 6 months",105
"2003/04","S08000015"," ","Total","d","< 1 day",270
"2003/04","S08000015"," ","Total","d","1 - 7 days",945
"2003/04","S08000015"," ","Total","d","8 - 28 days",735
"2003/04","S08000015"," ","Total","d","29 days - 6 months",615
"2003/04","S08000015"," ","Total","d","> 6 months",105
"2003/04","S08000016"," ","SMR01"," ","< 1 day",55
"2003/04","S08000016"," ","SMR01"," ","1 - 7 days",120
"2003/04","S08000016"," ","SMR01"," ","8 - 28 days",55
"2003/04","S08000016"," ","SMR01"," ","29 days - 6 months",25
"2003/04","S08000016"," ","SMR01"," ","> 6 months",0
"2003/04","S08000016"," ","SMR04"," ","< 1 day",10
"2003/04","S08000016"," ","SMR04"," ","1 - 7 days",190
"2003/04","S08000016"," ","SMR04"," ","8 - 28 days",250
"2003/04","S08000016"," ","SMR04"," ","29 days - 6 months",175
"2003/04","S08000016"," ","SMR04"," ","> 6 months",45
"2003/04","S08000016"," ","Total","d","< 1 day",60
"2003/04","S08000016"," ","Total","d","1 - 7 days",310
"2003/04","S08000016"," ","Total","d","8 - 28 days",310
"2003/04","S08000016"," ","Total","d","29 days - 6 months",200
"2003/04","S08000016"," ","Total","d","> 6 months",45
"2003/04","S08000017"," ","SMR01"," ","< 1 day",40
"2003/04","S08000017"," ","SMR01"," ","1 - 7 days",90
"2003/04","S08000017"," ","SMR01"," ","8 - 28 days",40
"2003/04","S08000017"," ","SMR01"," ","29 days - 6 months",15
"2003/04","S08000017"," ","SMR01"," ","> 6 months",0
"2003/04","S08000017"," ","SMR04"," ","< 1 day",15
"2003/04","S08000017"," ","SMR04"," ","1 - 7 days",225
"2003/04","S08000017"," ","SMR04"," ","8 - 28 days",205
"2003/04","S08000017"," ","SMR04"," ","29 days - 6 months",225
"2003/04","S08000017"," ","SMR04"," ","> 6 months",40
"2003/04","S08000017"," ","Total","d","< 1 day",55
"2003/04","S08000017"," ","Total","d","1 - 7 days",315
"2003/04","S08000017"," ","Total","d","8 - 28 days",245
"2003/04","S08000017"," ","Total","d","29 days - 6 months",240
"2003/04","S08000017"," ","Total","d","> 6 months",40
"2003/04","S08000029"," ","SMR01"," ","< 1 day",60
"2003/04","S08000029"," ","SMR01"," ","1 - 7 days",115
"2003/04","S08000029"," ","SMR01"," ","8 - 28 days",40
"2003/04","S08000029"," ","SMR01"," ","29 days - 6 months",40
"2003/04","S08000029"," ","SMR01"," ","> 6 months",5
"2003/04","S08000029"," ","SMR04"," ","< 1 day",25
"2003/04","S08000029"," ","SMR04"," ","1 - 7 days",470
"2003/04","S08000029"," ","SMR04"," ","8 - 28 days",545
"2003/04","S08000029"," ","SMR04"," ","29 days - 6 months",420
"2003/04","S08000029"," ","SMR04"," ","> 6 months",95
"2003/04","S08000029"," ","Total","d","< 1 day",85
"2003/04","S08000029"," ","Total","d","1 - 7 days",585
"2003/04","S08000029"," ","Total","d","8 - 28 days",585
"2003/04","S08000029"," ","Total","d","29 days - 6 months",465
"2003/04","S08000029"," ","Total","d","> 6 months",100
"2003/04","S08000019"," ","SMR01"," ","< 1 day",35
"2003/04","S08000019"," ","SMR01"," ","1 - 7 days",180
"2003/04","S08000019"," ","SMR01"," ","8 - 28 days",50
"2003/04","S08000019"," ","SMR01"," ","29 days - 6 months",35
"2003/04","S08000019"," ","SMR01"," ","> 6 months",0
"2003/04","S08000019"," ","SMR04"," ","< 1 day",75
"2003/04","S08000019"," ","SMR04"," ","1 - 7 days",230
"2003/04","S08000019"," ","SMR04"," ","8 - 28 days",380
"2003/04","S08000019"," ","SMR04"," ","29 days - 6 months",375
"2003/04","S08000019"," ","SMR04"," ","> 6 months",90
"2003/04","S08000019"," ","Total","d","< 1 day",110
"2003/04","S08000019"," ","Total","d","1 - 7 days",410
"2003/04","S08000019"," ","Total","d","8 - 28 days",430
"2003/04","S08000019"," ","Total","d","29 days - 6 months",410
"2003/04","S08000019"," ","Total","d","> 6 months",90
"2003/04","S08000020"," ","SMR01"," ","< 1 day",120
"2003/04","S08000020"," ","SMR01"," ","1 - 7 days",415
"2003/04","S08000020"," ","SMR01"," ","8 - 28 days",180
"2003/04","S08000020"," ","SMR01"," ","29 days - 6 months",105
"2003/04","S08000020"," ","SMR01"," ","> 6 months",5
"2003/04","S08000020"," ","SMR04"," ","< 1 day",25
"2003/04","S08000020"," ","SMR04"," ","1 - 7 days",520
"2003/04","S08000020"," ","SMR04"," ","8 - 28 days",695
"2003/04","S08000020"," ","SMR04"," ","29 days - 6 months",660
"2003/04","S08000020"," ","SMR04"," ","> 6 months",195
"2003/04","S08000020"," ","Total","d","< 1 day",145
"2003/04","S08000020"," ","Total","d","1 - 7 days",935
"2003/04","S08000020"," ","Total","d","8 - 28 days",875
"2003/04","S08000020"," ","Total","d","29 days - 6 months",770
"2003/04","S08000020"," ","Total","d","> 6 months",200
"2003/04","S08000031"," ","SMR01"," ","< 1 day",335
"2003/04","S08000031"," ","SMR01"," ","1 - 7 days",1260
"2003/04","S08000031"," ","SMR01"," ","8 - 28 days",505
"2003/04","S08000031"," ","SMR01"," ","29 days - 6 months",335
"2003/04","S08000031"," ","SMR01"," ","> 6 months",15
"2003/04","S08000031"," ","SMR04"," ","< 1 day",85
"2003/04","S08000031"," ","SMR04"," ","1 - 7 days",1500
"2003/04","S08000031"," ","SMR04"," ","8 - 28 days",2225
"2003/04","S08000031"," ","SMR04"," ","29 days - 6 months",1960
"2003/04","S08000031"," ","SMR04"," ","> 6 months",550
"2003/04","S08000031"," ","Total","d","< 1 day",420
"2003/04","S08000031"," ","Total","d","1 - 7 days",2760
"2003/04","S08000031"," ","Total","d","8 - 28 days",2730
"2003/04","S08000031"," ","Total","d","29 days - 6 months",2295
"2003/04","S08000031"," ","Total","d","> 6 months",565
"2003/04","S08000022"," ","SMR01"," ","< 1 day",185
"2003/04","S08000022"," ","SMR01"," ","1 - 7 days",480
"2003/04","S08000022"," ","SMR01"," ","8 - 28 days",145
"2003/04","S08000022"," ","SMR01"," ","29 days - 6 months",80
"2003/04","S08000022"," ","SMR01"," ","> 6 months",20
