"FinancialYear","HBR","HBRQF","AgeGroup","Sex","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF"
"2016/17","S08000026"," ","18-24 years","Male","Total","d",5," ","508.65"," ",5," ","508.65"," "
"2016/17","S08000026"," ","18-24 years","Female","Total","d",5," ","620.35"," ",5," ","620.35"," "
"2016/17","S08000026"," ","25-39 years","Male","Total","d",15," ","723.24"," ",10," ","482.16"," "
"2016/17","S08000026"," ","25-39 years","Female","Total","d",5," ","245.7"," ",5," ","245.7"," "
"2016/17","S08000026"," ","40-64 years","Male","Total","d",30," ","724.64"," ",20," ","483.09"," "
"2016/17","S08000026"," ","40-64 years","Female","Total","d",15," ","378.98"," ",10," ","252.65"," "
"2016/17","S08000026"," ","65plus years","Male","Total","d",5," ","238.21"," ",5," ","238.21"," "
"2016/17","S08000026"," ","65plus years","Female","Total","d",10," ","434.03"," ",10," ","434.03"," "
"2016/17","S08000028"," ","0-17 years","Male","Total","d",0," ","0"," ",0," ","0"," "
"2016/17","S08000028"," ","0-17 years","Female","Total","d",5," ","211.69"," ",0," ","0"," "
"2016/17","S08000028"," ","18-24 years","Male","Total","d",5," ","549.45"," ",5," ","549.45"," "
"2016/17","S08000028"," ","18-24 years","Female","Total","d",0," ","0"," ",0," ","0"," "
"2016/17","S08000028"," ","25-39 years","Male","Total","d",15," ","782.06"," ",15," ","782.06"," "
"2016/17","S08000028"," ","25-39 years","Female","Total","d",15," ","742.21"," ",10," ","494.8"," "
"2016/17","S08000028"," ","40-64 years","Male","Total","d",40," ","813.34"," ",25," ","508.34"," "
"2016/17","S08000028"," ","40-64 years","Female","Total","d",35," ","725.24"," ",20," ","414.42"," "
"2016/17","S08000028"," ","65plus years","Male","Total","d",35," ","1163.95"," ",25," ","831.39"," "
"2016/17","S08000028"," ","65plus years","Female","Total","d",10," ","275.33"," ",5," ","137.67"," "
"2016/17","S08000029"," ","0-17 years","Male","Total","d",30," ","80.66"," ",25," ","67.22"," "
"2016/17","S08000029"," ","0-17 years","Female","Total","d",25," ","71.16"," ",25," ","71.16"," "
"2016/17","S08000029"," ","18-24 years","Male","Total","d",90," ","544.63"," ",65," ","393.34"," "
"2016/17","S08000029"," ","18-24 years","Female","Total","d",105," ","614.39"," ",60," ","351.08"," "
"2016/17","S08000029"," ","25-39 years","Male","Total","d",305," ","985.68"," ",185," ","597.87"," "
"2016/17","S08000029"," ","25-39 years","Female","Total","d",220," ","666.69"," ",125," ","378.8"," "
"2016/17","S08000029"," ","40-64 years","Male","Total","d",485," ","786.57"," ",270," ","437.89"," "
"2016/17","S08000029"," ","40-64 years","Female","Total","d",450," ","690.94"," ",260," ","399.21"," "
"2016/17","S08000029"," ","65plus years","Male","Total","d",505," ","1519.67"," ",295," ","887.73"," "
"2016/17","S08000029"," ","65plus years","Female","Total","d",690," ","1706.78"," ",380," ","939.97"," "
"2016/17","S08000030"," ","0-17 years","Male","Total","d",25," ","63.37"," ",15," ","38.02"," "
"2016/17","S08000030"," ","0-17 years","Female","Total","d",40," ","106.97"," ",25," ","66.85"," "
"2016/17","S08000030"," ","18-24 years","Male","Total","d",130," ","658.09"," ",80," ","404.98"," "
"2016/17","S08000030"," ","18-24 years","Female","Total","d",120," ","617.73"," ",70," ","360.34"," "
"2016/17","S08000030"," ","25-39 years","Male","Total","d",400," ","1058.03"," ",245," ","648.05"," "
"2016/17","S08000030"," ","25-39 years","Female","Total","d",285," ","744.38"," ",170," ","444.01"," "
"2016/17","S08000030"," ","40-64 years","Male","Total","d",645," ","969.28"," ",395," ","593.59"," "
"2016/17","S08000030"," ","40-64 years","Female","Total","d",475," ","674.35"," ",285," ","404.61"," "
"2016/17","S08000030"," ","65plus years","Male","Total","d",690," ","1787.15"," ",365," ","945.38"," "
"2016/17","S08000030"," ","65plus years","Female","Total","d",820," ","1716.88"," ",445," ","931.72"," "
"2016/17","S08000031"," ","0-17 years","Male","Total","d",75," ","67.11"," ",65," ","58.16"," "
"2016/17","S08000031"," ","0-17 years","Female","Total","d",115," ","107.33"," ",80," ","74.66"," "
"2016/17","S08000031"," ","18-24 years","Male","Total","d",350," ","600.11"," ",235," ","402.93"," "
"2016/17","S08000031"," ","18-24 years","Female","Total","d",225," ","382.39"," ",160," ","271.92"," "
"2016/17","S08000031"," ","25-39 years","Male","Total","d",1655," ","1304.74"," ",830," ","654.34"," "
"2016/17","S08000031"," ","25-39 years","Female","Total","d",870," ","682.93"," ",485," ","380.71"," "
"2016/17","S08000031"," ","40-64 years","Male","Total","d",3500," ","1918.72"," ",1605," ","879.87"," "
"2016/17","S08000031"," ","40-64 years","Female","Total","d",1890," ","954.19"," ",1020," ","514.96"," "
"2016/17","S08000031"," ","65plus years","Male","Total","d",1735," ","2126.23"," ",825," ","1011.03"," "
"2016/17","S08000031"," ","65plus years","Female","Total","d",1850," ","1697.67"," ",920," ","844.25"," "
"2016/17","S08000032"," ","0-17 years","Male","Total","d",60," ","88.03"," ",45," ","66.02"," "
"2016/17","S08000032"," ","0-17 years","Female","Total","d",65," ","99.5"," ",45," ","68.88"," "
"2016/17","S08000032"," ","18-24 years","Male","Total","d",145," ","516.53"," ",95," ","338.42"," "
"2016/17","S08000032"," ","18-24 years","Female","Total","d",90," ","338.31"," ",55," ","206.74"," "
"2016/17","S08000032"," ","25-39 years","Male","Total","d",620," ","1071.77"," ",355," ","613.68"," "
"2016/17","S08000032"," ","25-39 years","Female","Total","d",360," ","581.47"," ",230," ","371.5"," "
"2016/17","S08000032"," ","40-64 years","Male","Total","d",1200," ","1067.93"," ",655," ","582.91"," "
"2016/17","S08000032"," ","40-64 years","Female","Total","d",655," ","544.35"," ",410," ","340.74"," "
"2016/17","S08000032"," ","65plus years","Male","Total","d",1150," ","2264.31"," ",480," ","945.11"," "
"2016/17","S08000032"," ","65plus years","Female","Total","d",1375," ","2112.65"," ",555," ","852.74"," "
"2016/17","RA2702"," ","0-17 years","Male","Total","d",0," ","",":",0," ","",":"
"2016/17","RA2702"," ","0-17 years","Female","Total","d",0," ","",":",0," ","",":"
"2016/17","RA2702"," ","18-24 years","Male","Total","d",20," ","",":",10," ","",":"
"2016/17","RA2702"," ","18-24 years","Female","Total","d",25," ","",":",20," ","",":"
"2016/17","RA2702"," ","25-39 years","Male","Total","d",70," ","",":",35," ","",":"
"2016/17","RA2702"," ","25-39 years","Female","Total","d",35," ","",":",30," ","",":"
"2016/17","RA2702"," ","40-64 years","Male","Total","d",80," ","",":",55," ","",":"
"2016/17","RA2702"," ","40-64 years","Female","Total","d",40," ","",":",35," ","",":"
"2016/17","RA2702"," ","65plus years","Male","Total","d",25," ","",":",15," ","",":"
"2016/17","RA2702"," ","65plus years","Female","Total","d",15," ","",":",10," ","",":"
"2016/17","RA2701"," ","0-17 years","Male","Total","d",0," ","",":",0," ","",":"
"2016/17","RA2701"," ","0-17 years","Female","Total","d",0," ","",":",0," ","",":"
"2016/17","RA2701"," ","18-24 years","Male","Total","d",30," ","",":",20," ","",":"
"2016/17","RA2701"," ","18-24 years","Female","Total","d",0," ","",":",0," ","",":"
"2016/17","RA2701"," ","25-39 years","Male","Total","d",105," ","",":",60," ","",":"
"2016/17","RA2701"," ","25-39 years","Female","Total","d",25," ","",":",20," ","",":"
"2016/17","RA2701"," ","40-64 years","Male","Total","d",100," ","",":",80," ","",":"
"2016/17","RA2701"," ","40-64 years","Female","Total","d",25," ","",":",20," ","",":"
"2016/17","RA2701"," ","65plus years","Male","Total","d",10," ","",":",5," ","",":"
"2016/17","RA2701"," ","65plus years","Female","Total","d",0," ","",":",0," ","",":"
"2016/17","RA2704"," ","0-17 years","Male","Total","d",0," ","",":",0," ","",":"
"2016/17","RA2704"," ","0-17 years","Female","Total","d",0," ","",":",0," ","",":"
"2016/17","RA2704"," ","18-24 years","Male","Total","d",10," ","",":",10," ","",":"
"2016/17","RA2704"," ","18-24 years","Female","Total","d",5," ","",":",5," ","",":"
"2016/17","RA2704"," ","25-39 years","Male","Total","d",110," ","",":",55," ","",":"
"2016/17","RA2704"," ","25-39 years","Female","Total","d",15," ","",":",10," ","",":"
"2016/17","RA2704"," ","40-64 years","Male","Total","d",105," ","",":",60," ","",":"
"2016/17","RA2704"," ","40-64 years","Female","Total","d",20," ","",":",10," ","",":"
"2016/17","RA2704"," ","65plus years","Male","Total","d",25," ","",":",10," ","",":"
"2016/17","RA2704"," ","65plus years","Female","Total","d",5," ","",":",5," ","",":"
"2016/17","RA2703"," ","0-17 years","Male","Total","d",0," ","",":",0," ","",":"
"2016/17","RA2703"," ","0-17 years","Female","Total","d",0," ","",":",0," ","",":"
"2016/17","RA2703"," ","18-24 years","Male","Total","d",0," ","",":",0," ","",":"
"2016/17","RA2703"," ","18-24 years","Female","Total","d",0," ","",":",0," ","",":"
"2016/17","RA2703"," ","25-39 years","Male","Total","d",5," ","",":",5," ","",":"
"2016/17","RA2703"," ","25-39 years","Female","Total","d",5," ","",":",5," ","",":"
"2016/17","RA2703"," ","40-64 years","Male","Total","d",10," ","",":",10," ","",":"
"2016/17","RA2703"," ","40-64 years","Female","Total","d",10," ","",":",5," ","",":"
"2016/17","RA2703"," ","65plus years","Male","Total","d",0," ","",":",0," ","",":"
"2016/17","RA2703"," ","65plus years","Female","Total","d",0," ","",":",0," ","",":"
"2017/18","S08000015"," ","0-17 years","Male","Total","d",40," ","112.18"," ",30," ","84.14"," "
"2017/18","S08000015"," ","0-17 years","Female","Total","d",45," ","132.02"," ",40," ","117.35"," "
"2017/18","S08000015"," ","18-24 years","Male","Total","d",65," ","431.55"," ",45," ","298.77"," "
"2017/18","S08000015"," ","18-24 years","Female","Total","d",40," ","280.82"," ",30," ","210.61"," "
"2017/18","S08000015"," ","25-39 years","Male","Total","d",340," ","1196.09"," ",185," ","650.81"," "
"2017/18","S08000015"," ","25-39 years","Female","Total","d",170," ","547.15"," ",125," ","402.32"," "
"2017/18","S08000015"," ","40-64 years","Male","Total","d",755," ","1224.32"," ",400," ","648.65"," "
"2017/18","S08000015"," ","40-64 years","Female","Total","d",430," ","627.64"," ",250," ","364.9"," "
"2017/18","S08000015"," ","65plus years","Male","Total","d",385," ","1046.22"," ",225," ","611.43"," "
"2017/18","S08000015"," ","65plus years","Female","Total","d",410," ","913.38"," ",245," ","545.8"," "
"2017/18","S08000016"," ","0-17 years","Male","Total","d",30," ","276.17"," ",20," ","184.11"," "
"2017/18","S08000016"," ","0-17 years","Female","Total","d",30," ","282.59"," ",25," ","235.49"," "
"2017/18","S08000016"," ","18-24 years","Male","Total","d",35," ","868.27"," ",20," ","496.15"," "
"2017/18","S08000016"," ","18-24 years","Female","Total","d",15," ","386.7"," ",10," ","257.8"," "
"2017/18","S08000016"," ","25-39 years","Male","Total","d",95," ","1239.72"," ",60," ","782.98"," "
"2017/18","S08000016"," ","25-39 years","Female","Total","d",70," ","843.58"," ",45," ","542.3"," "
"2017/18","S08000016"," ","40-64 years","Male","Total","d",145," ","710.19"," ",85," ","416.32"," "
"2017/18","S08000016"," ","40-64 years","Female","Total","d",95," ","440.75"," ",65," ","301.57"," "
"2017/18","S08000016"," ","65plus years","Male","Total","d",170," ","1326.57"," ",90," ","702.3"," "
"2017/18","S08000016"," ","65plus years","Female","Total","d",170," ","1142.17"," ",95," ","638.27"," "
"2017/18","S08000017"," ","0-17 years","Male","Total","d",5," ","36.88"," ",5," ","36.88"," "
"2017/18","S08000017"," ","0-17 years","Female","Total","d",15," ","116.08"," ",15," ","116.08"," "
"2017/18","S08000017"," ","18-24 years","Male","Total","d",50," ","901.39"," ",30," ","540.83"," "
"2017/18","S08000017"," ","18-24 years","Female","Total","d",35," ","679.48"," ",25," ","485.34"," "
"2017/18","S08000017"," ","25-39 years","Male","Total","d",155," ","1457.73"," ",75," ","705.35"," "
"2017/18","S08000017"," ","25-39 years","Female","Total","d",140," ","1229.9"," ",50," ","439.25"," "
"2017/18","S08000017"," ","40-64 years","Male","Total","d",235," ","929.44"," ",110," ","435.06"," "
"2017/18","S08000017"," ","40-64 years","Female","Total","d",260," ","951.93"," ",90," ","329.51"," "
"2017/18","S08000017"," ","65plus years","Male","Total","d",200," ","1149.29"," ",100," ","574.65"," "
"2017/18","S08000017"," ","65plus years","Female","Total","d",395," ","1974.31"," ",135," ","674.76"," "
"2017/18","S08000019"," ","0-17 years","Male","Total","d",25," ","81.8"," ",20," ","65.44"," "
"2017/18","S08000019"," ","0-17 years","Female","Total","d",35," ","120.7"," ",30," ","103.46"," "
"2017/18","S08000019"," ","18-24 years","Male","Total","d",105," ","745.58"," ",55," ","390.54"," "
"2017/18","S08000019"," ","18-24 years","Female","Total","d",85," ","630.66"," ",45," ","333.88"," "
"2017/18","S08000019"," ","25-39 years","Male","Total","d",280," ","1063.91"," ",165," ","626.95"," "
"2017/18","S08000019"," ","25-39 years","Female","Total","d",160," ","566.69"," ",95," ","336.47"," "
"2017/18","S08000019"," ","40-64 years","Male","Total","d",495," ","952.58"," ",280," ","538.83"," "
"2017/18","S08000019"," ","40-64 years","Female","Total","d",320," ","585.8"," ",185," ","338.67"," "
"2017/18","S08000019"," ","65plus years","Male","Total","d",325," ","1254.44"," ",195," ","752.66"," "
"2017/18","S08000019"," ","65plus years","Female","Total","d",325," ","1034.74"," ",220," ","700.44"," "
"2017/18","S08000020"," ","0-17 years","Male","Total","d",30," ","52.39"," ",25," ","43.66"," "
"2017/18","S08000020"," ","0-17 years","Female","Total","d",45," ","83.02"," ",30," ","55.35"," "
"2017/18","S08000020"," ","18-24 years","Male","Total","d",105," ","406.55"," ",75," ","290.39"," "
"2017/18","S08000020"," ","18-24 years","Female","Total","d",95," ","376.69"," ",65," ","257.73"," "
"2017/18","S08000020"," ","25-39 years","Male","Total","d",305," ","479.78"," ",215," ","338.2"," "
"2017/18","S08000020"," ","25-39 years","Female","Total","d",270," ","446.06"," ",175," ","289.11"," "
"2017/18","S08000020"," ","40-64 years","Male","Total","d",650," ","667"," ",405," ","415.59"," "
"2017/18","S08000020"," ","40-64 years","Female","Total","d",450," ","458.42"," ",310," ","315.8"," "
"2017/18","S08000020"," ","65plus years","Male","Total","d",480," ","1009.59"," ",320," ","673.06"," "
"2017/18","S08000020"," ","65plus years","Female","Total","d",505," ","892.1"," ",330," ","582.96"," "
"2017/18","S08000022"," ","0-17 years","Male","Total","d",20," ","65.51"," ",15," ","49.14"," "
"2017/18","S08000022"," ","0-17 years","Female","Total","d",30," ","103.23"," ",25," ","86.02"," "
"2017/18","S08000022"," ","18-24 years","Male","Total","d",90," ","690.55"," ",65," ","498.73"," "
"2017/18","S08000022"," ","18-24 years","Female","Total","d",75," ","712.39"," ",55," ","522.42"," "
"2017/18","S08000022"," ","25-39 years","Male","Total","d",260," ","1004.6"," ",165," ","637.53"," "
"2017/18","S08000022"," ","25-39 years","Female","Total","d",170," ","661.97"," ",115," ","447.8"," "
"2017/18","S08000022"," ","40-64 years","Male","Total","d",565," ","1018.46"," ",320," ","576.83"," "
"2017/18","S08000022"," ","40-64 years","Female","Total","d",340," ","577"," ",215," ","364.87"," "
"2017/18","S08000022"," ","65plus years","Male","Total","d",390," ","1168.08"," ",235," ","703.85"," "
"2017/18","S08000022"," ","65plus years","Female","Total","d",455," ","1152.25"," ",265," ","671.09"," "
"2017/18","S08000024"," ","0-17 years","Male","Total","d",75," ","87.87"," ",50," ","58.58"," "
"2017/18","S08000024"," ","0-17 years","Female","Total","d",60," ","73.75"," ",50," ","61.46"," "
"2017/18","S08000024"," ","18-24 years","Male","Total","d",185," ","443.06"," ",115," ","275.42"," "
"2017/18","S08000024"," ","18-24 years","Female","Total","d",165," ","367.75"," ",90," ","200.59"," "
"2017/18","S08000024"," ","25-39 years","Male","Total","d",600," ","587.99"," ",390," ","382.19"," "
"2017/18","S08000024"," ","25-39 years","Female","Total","d",510," ","476.88"," ",265," ","247.79"," "
"2017/18","S08000024"," ","40-64 years","Male","Total","d",1010," ","722.63"," ",620," ","443.59"," "
"2017/18","S08000024"," ","40-64 years","Female","Total","d",950," ","661.88"," ",500," ","348.36"," "
"2017/18","S08000024"," ","65plus years","Male","Total","d",1245," ","1957.79"," ",625," ","982.83"," "
"2017/18","S08000024"," ","65plus years","Female","Total","d",1830," ","2280.77"," ",840," ","1046.91"," "
"2017/18","S08000025"," ","0-17 years","Male","Total","d",5," ","246.55"," ",5," ","246.55"," "
"2017/18","S08000025"," ","0-17 years","Female","Total","d",5," ","257.2"," ",0," ","0"," "
"2017/18","S08000025"," ","18-24 years","Male","Total","d",5," ","584.11"," ",5," ","584.11"," "
"2017/18","S08000025"," ","18-24 years","Female","Total","d",5," ","737.46"," ",5," ","737.46"," "
"2017/18","S08000025"," ","25-39 years","Male","Total","d",20," ","1156.74"," ",10," ","578.37"," "
"2017/18","S08000025"," ","25-39 years","Female","Total","d",5," ","273.22"," ",5," ","273.22"," "
"2017/18","S08000025"," ","40-64 years","Male","Total","d",20," ","508.52"," ",10," ","254.26"," "
"2017/18","S08000025"," ","40-64 years","Female","Total","d",15," ","381.78"," ",10," ","254.52"," "
"2017/18","S08000025"," ","65plus years","Male","Total","d",20," ","833.68"," ",10," ","416.84"," "
"2017/18","S08000025"," ","65plus years","Female","Total","d",15," ","560.96"," ",10," ","373.97"," "
"2017/18","S08000026"," ","0-17 years","Male","Total","d",0," ","0"," ",0," ","0"," "
"2017/18","S08000026"," ","0-17 years","Female","Total","d",5," ","219.3"," ",5," ","219.3"," "
"2017/18","S08000026"," ","18-24 years","Male","Total","d",5," ","551.88"," ",5," ","551.88"," "
"2017/18","S08000026"," ","18-24 years","Female","Total","d",0," ","0"," ",0," ","0"," "
"2017/18","S08000026"," ","25-39 years","Male","Total","d",10," ","482.63"," ",10," ","482.63"," "
"2017/18","S08000026"," ","25-39 years","Female","Total","d",10," ","505.56"," ",5," ","252.78"," "
"2017/18","S08000026"," ","40-64 years","Male","Total","d",35," ","852.2"," ",20," ","486.97"," "
"2017/18","S08000026"," ","40-64 years","Female","Total","d",15," ","377.93"," ",10," ","251.95"," "
"2017/18","S08000026"," ","65plus years","Male","Total","d",15," ","696.06"," ",10," ","464.04"," "
"2017/18","S08000026"," ","65plus years","Female","Total","d",20," ","859.48"," ",10," ","429.74"," "
"2017/18","S08000028"," ","0-17 years","Male","Total","d",5," ","197.94"," ",5," ","197.94"," "
"2017/18","S08000028"," ","0-17 years","Female","Total","d",5," ","211.33"," ",5," ","211.33"," "
"2017/18","S08000028"," ","18-24 years","Male","Total","d",5," ","570.78"," ",5," ","570.78"," "
"2017/18","S08000028"," ","18-24 years","Female","Total","d",5," ","620.35"," ",0," ","0"," "
"2017/18","S08000028"," ","25-39 years","Male","Total","d",10," ","520.83"," ",5," ","260.42"," "
"2017/18","S08000028"," ","25-39 years","Female","Total","d",10," ","505.31"," ",10," ","505.31"," "
"2017/18","S08000028"," ","40-64 years","Male","Total","d",60," ","1219.51"," ",30," ","609.76"," "
"2017/18","S08000028"," ","40-64 years","Female","Total","d",15," ","312.43"," ",10," ","208.29"," "
"2017/18","S08000028"," ","65plus years","Male","Total","d",50," ","1629.73"," ",25," ","814.86"," "
"2017/18","S08000028"," ","65plus years","Female","Total","d",40," ","1084.6"," ",25," ","677.87"," "
"2017/18","S08000029"," ","0-17 years","Male","Total","d",45," ","121.39"," ",35," ","94.41"," "
"2017/18","S08000029"," ","0-17 years","Female","Total","d",35," ","99.97"," ",30," ","85.69"," "
"2017/18","S08000029"," ","18-24 years","Male","Total","d",95," ","571.94"," ",65," ","391.33"," "
"2017/18","S08000029"," ","18-24 years","Female","Total","d",115," ","679.75"," ",60," ","354.65"," "
"2017/18","S08000029"," ","25-39 years","Male","Total","d",310," ","988.71"," ",175," ","558.14"," "
"2017/18","S08000029"," ","25-39 years","Female","Total","d",300," ","896.38"," ",150," ","448.19"," "
"2017/18","S08000029"," ","40-64 years","Male","Total","d",580," ","942.45"," ",275," ","446.85"," "
"2017/18","S08000029"," ","40-64 years","Female","Total","d",400," ","616.86"," ",225," ","346.98"," "
"2017/18","S08000029"," ","65plus years","Male","Total","d",760," ","2252.85"," ",375," ","1111.61"," "
"2017/18","S08000029"," ","65plus years","Female","Total","d",990," ","2423.09"," ",490," ","1199.3"," "
"2017/18","S08000030"," ","0-17 years","Male","Total","d",50," ","126.88"," ",30," ","76.13"," "
"2017/18","S08000030"," ","0-17 years","Female","Total","d",55," ","147.63"," ",35," ","93.94"," "
"2017/18","S08000030"," ","18-24 years","Male","Total","d",95," ","497.17"," ",65," ","340.17"," "
"2017/18","S08000030"," ","18-24 years","Female","Total","d",105," ","556.94"," ",70," ","371.29"," "
"2017/18","S08000030"," ","25-39 years","Male","Total","d",400," ","1031.17"," ",245," ","631.59"," "
"2017/18","S08000030"," ","25-39 years","Female","Total","d",265," ","677.39"," ",175," ","447.33"," "
"2017/18","S08000030"," ","40-64 years","Male","Total","d",575," ","869.34"," ",375," ","566.96"," "
"2017/18","S08000030"," ","40-64 years","Female","Total","d",450," ","641.49"," ",265," ","377.77"," "
"2017/18","S08000030"," ","65plus years","Male","Total","d",655," ","1674.42"," ",375," ","958.64"," "
"2017/18","S08000030"," ","65plus years","Female","Total","d",735," ","1526.67"," ",430," ","893.15"," "
"2017/18","S08000031"," ","0-17 years","Male","Total","d",75," ","66.68"," ",60," ","53.34"," "
"2017/18","S08000031"," ","0-17 years","Female","Total","d",105," ","97.87"," ",80," ","74.57"," "
"2017/18","S08000031"," ","18-24 years","Male","Total","d",310," ","544.58"," ",210," ","368.91"," "
"2017/18","S08000031"," ","18-24 years","Female","Total","d",290," ","511.59"," ",165," ","291.08"," "
"2017/18","S08000031"," ","25-39 years","Male","Total","d",1740," ","1318.42"," ",880," ","666.79"," "
"2017/18","S08000031"," ","25-39 years","Female","Total","d",910," ","689.79"," ",510," ","386.59"," "
"2017/18","S08000031"," ","40-64 years","Male","Total","d",3585," ","1969.61"," ",1685," ","925.74"," "
"2017/18","S08000031"," ","40-64 years","Female","Total","d",1885," ","952.53"," ",985," ","497.74"," "
"2017/18","S08000031"," ","65plus years","Male","Total","d",2030," ","2456.68"," ",850," ","1028.66"," "
"2017/18","S08000031"," ","65plus years","Female","Total","d",2325," ","2127.35"," ",1050," ","960.74"," "
"2017/18","S08000032"," ","0-17 years","Male","Total","d",65," ","95.85"," ",50," ","73.73"," "
"2017/18","S08000032"," ","0-17 years","Female","Total","d",60," ","92.22"," ",40," ","61.48"," "
"2017/18","S08000032"," ","18-24 years","Male","Total","d",140," ","501.67"," ",95," ","340.42"," "
"2017/18","S08000032"," ","18-24 years","Female","Total","d",105," ","402.02"," ",60," ","229.73"," "
"2017/18","S08000032"," ","25-39 years","Male","Total","d",615," ","1047.43"," ",360," ","613.13"," "
"2017/18","S08000032"," ","25-39 years","Female","Total","d",300," ","477.35"," ",190," ","302.32"," "
"2017/18","S08000032"," ","40-64 years","Male","Total","d",1200," ","1069.81"," ",635," ","566.11"," "
"2017/18","S08000032"," ","40-64 years","Female","Total","d",700," ","583.42"," ",405," ","337.55"," "
"2017/18","S08000032"," ","65plus years","Male","Total","d",1150," ","2225.84"," ",470," ","909.69"," "
"2017/18","S08000032"," ","65plus years","Female","Total","d",1605," ","2437.54"," ",595," ","903.64"," "
"2017/18","RA2702"," ","0-17 years","Male","Total","d",0," ","",":",0," ","",":"
"2017/18","RA2702"," ","0-17 years","Female","Total","d",5," ","",":",5," ","",":"
"2017/18","RA2702"," ","18-24 years","Male","Total","d",15," ","",":",10," ","",":"
"2017/18","RA2702"," ","18-24 years","Female","Total","d",15," ","",":",15," ","",":"
"2017/18","RA2702"," ","25-39 years","Male","Total","d",30," ","",":",25," ","",":"
"2017/18","RA2702"," ","25-39 years","Female","Total","d",35," ","",":",30," ","",":"
"2017/18","RA2702"," ","40-64 years","Male","Total","d",45," ","",":",40," ","",":"
"2017/18","RA2702"," ","40-64 years","Female","Total","d",30," ","",":",25," ","",":"
"2017/18","RA2702"," ","65plus years","Male","Total","d",20," ","",":",10," ","",":"
"2017/18","RA2702"," ","65plus years","Female","Total","d",15," ","",":",10," ","",":"
"2017/18","RA2701"," ","0-17 years","Male","Total","d",5," ","",":",0," ","",":"
"2017/18","RA2701"," ","0-17 years","Female","Total","d",0," ","",":",0," ","",":"
"2017/18","RA2701"," ","18-24 years","Male","Total","d",30," ","",":",20," ","",":"
"2017/18","RA2701"," ","18-24 years","Female","Total","d",10," ","",":",10," ","",":"
"2017/18","RA2701"," ","25-39 years","Male","Total","d",105," ","",":",65," ","",":"
"2017/18","RA2701"," ","25-39 years","Female","Total","d",35," ","",":",25," ","",":"
"2017/18","RA2701"," ","40-64 years","Male","Total","d",135," ","",":",85," ","",":"
"2017/18","RA2701"," ","40-64 years","Female","Total","d",25," ","",":",10," ","",":"
"2017/18","RA2701"," ","65plus years","Male","Total","d",10," ","",":",5," ","",":"
"2017/18","RA2701"," ","65plus years","Female","Total","d",0," ","",":",0," ","",":"
"2017/18","RA2704"," ","0-17 years","Male","Total","d",0," ","",":",0," ","",":"
"2017/18","RA2704"," ","0-17 years","Female","Total","d",0," ","",":",0," ","",":"
"2017/18","RA2704"," ","18-24 years","Male","Total","d",25," ","",":",15," ","",":"
"2017/18","RA2704"," ","18-24 years","Female","Total","d",0," ","",":",0," ","",":"
"2017/18","RA2704"," ","25-39 years","Male","Total","d",105," ","",":",65," ","",":"
"2017/18","RA2704"," ","25-39 years","Female","Total","d",35," ","",":",20," ","",":"
"2017/18","RA2704"," ","40-64 years","Male","Total","d",100," ","",":",70," ","",":"
"2017/18","RA2704"," ","40-64 years","Female","Total","d",35," ","",":",20," ","",":"
"2017/18","RA2704"," ","65plus years","Male","Total","d",30," ","",":",20," ","",":"
"2017/18","RA2704"," ","65plus years","Female","Total","d",5," ","",":",5," ","",":"
"2017/18","RA2703"," ","0-17 years","Male","Total","d",0," ","",":",0," ","",":"
"2017/18","RA2703"," ","0-17 years","Female","Total","d",0," ","",":",0," ","",":"
"2017/18","RA2703"," ","18-24 years","Male","Total","d",10," ","",":",5," ","",":"
"2017/18","RA2703"," ","18-24 years","Female","Total","d",5," ","",":",5," ","",":"
"2017/18","RA2703"," ","25-39 years","Male","Total","d",5," ","",":",5," ","",":"
"2017/18","RA2703"," ","25-39 years","Female","Total","d",5," ","",":",5," ","",":"
"2017/18","RA2703"," ","40-64 years","Male","Total","d",5," ","",":",5," ","",":"
"2017/18","RA2703"," ","40-64 years","Female","Total","d",5," ","",":",5," ","",":"
"2017/18","RA2703"," ","65plus years","Male","Total","d",5," ","",":",5," ","",":"
"2017/18","RA2703"," ","65plus years","Female","Total","d",15," ","",":",5," ","",":"
"2018/19","S08000015"," ","0-17 years","Male","Total","d",35," ","98.97"," ",25," ","70.69"," "
"2018/19","S08000015"," ","0-17 years","Female","Total","d",55," ","162.4"," ",35," ","103.34"," "
"2018/19","S08000015"," ","18-24 years","Male","Total","d",80," ","539.41"," ",60," ","404.56"," "
"2018/19","S08000015"," ","18-24 years","Female","Total","d",55," ","395.17"," ",35," ","251.47"," "
"2018/19","S08000015"," ","25-39 years","Male","Total","d",385," ","1343.9"," ",230," ","802.85"," "
"2018/19","S08000015"," ","25-39 years","Female","Total","d",205," ","656.1"," ",125," ","400.06"," "
"2018/19","S08000015"," ","40-64 years","Male","Total","d",675," ","1106.39"," ",370," ","606.47"," "
"2018/19","S08000015"," ","40-64 years","Female","Total","d",470," ","691.46"," ",300," ","441.36"," "
"2018/19","S08000015"," ","65plus years","Male","Total","d",365," ","976.93"," ",210," ","562.07"," "
"2018/19","S08000015"," ","65plus years","Female","Total","d",455," ","1001.08"," ",270," ","594.05"," "
"2018/19","S08000016"," ","0-17 years","Male","Total","d",20," ","183.59"," ",15," ","137.69"," "
